Deals
Deal ID,Order ID,Symbol,Opening Direction,Closing Direction,Opening time (UTC+8),Closing Time (UTC+8),Entry price,Closing price,Closing Quantity,Commissions,Pips,Net USD,Channel,Balance USD
DID315252284,356318067,NAS100,Buy,Sell,21 Aug 2026 02:38:02.095,21 Aug 2026 06:03:27.237,29141.6,29204.8,4.3 Lots,0.00,63.2,250.62,openapi_cbot-t,36 483.87
DID315241615,356320140,DOW.US,Sell,Buy,21 Aug 2026 01:35:10.269,21 Aug 2026 02:55:30.754,33.31,33.00,1 Lots,-0.04,3.1,0.27,openapi_cbot-t,36 233.25
DID315153005,356123011,NatGas,Sell,Buy,20 Aug 2026 11:38:11.329,20 Aug 2026 19:57:49.837,2.797,2.779,1 Lots,0.00,1.8,180.00,openapi_cbot-t,36 232.98
DID315109900,356154896,NatGas,Sell,Buy,20 Aug 2026 11:38:11.329,20 Aug 2026 15:31:52.507,2.797,2.771,1 Lots,0.00,2.6,260.00,openapi_cbot-t,36 052.98
DID314971887,355339062,NatGas,Buy,Sell,17 Aug 2026 16:53:26.997,19 Aug 2026 22:06:10.907,2.660,2.831,0.5 Lots,0.00,17.1,864.00,cTrader 2 iOS,35 792.98
DID314873179,355858343,NAS100,Sell,Buy,19 Aug 2026 10:44:42.763,19 Aug 2026 14:54:20.638,29431.2,29455.6,4.3 Lots,0.00,-24.4,-104.92,openapi_cbot-t,34 928.98
DID314781642,355339063,NatGas,Buy,Sell,17 Aug 2026 16:53:26.997,19 Aug 2026 00:10:36.456,2.660,2.760,0.5 Lots,0.00,10.0,504.50,cTrader 2 iOS,35 033.90
DID314361395,355235500,NatGas,Sell,Buy,17 Aug 2026 08:00:40.195,17 Aug 2026 08:10:30.231,2.676,2.684,9.88 Lots,0.00,-0.8,-790.40,openapi_cbot-t,34 529.40
DID313865268,354550528,VIX,Sell,Buy,13 Aug 2026 06:01:05.781,13 Aug 2026 08:02:19.966,16.15,16.27,100 Lots,0.00,-1.2,-12.00,openapi_cbot-t,35 319.80
DID313865267,354550527,NatGas,Sell,Buy,13 Aug 2026 06:00:39.132,13 Aug 2026 08:02:19.721,2.802,2.808,0.84 Lots,0.00,-0.6,-50.40,openapi_cbot-t,35 331.80
DID313865206,354550433,NAS100,Sell,Buy,13 Aug 2026 06:00:41.876,13 Aug 2026 08:01:45.961,29720.1,29721.1,0.8 Lots,0.00,-1.0,-0.80,openapi_cbot-t,35 382.20
DID313862923,354546832,LTCUSD,Sell,Buy,13 Aug 2026 05:24:08.484,13 Aug 2026 07:24:23.350,44.68,44.97,100 Lots,0.00,-2.9,-29.00,openapi_cbot-t,35 383.00
DID313862564,354545902,AUDCHF,Buy,Sell,13 Aug 2026 05:13:06.051,13 Aug 2026 07:13:36.446,0.57508,0.57444,0.34 Lots,0.00,-6.4,-26.75,openapi_cbot-t,35 412.00
DID313860970,354543275,US30,Sell,Buy,13 Aug 2026 06:00:31.483,13 Aug 2026 06:45:52.377,53818.6,53825.0,0.4 Lots,0.00,-6.4,-2.56,openapi_cbot-t,35 438.75
DID313859788,354541817,DOGEUSD,Sell,Buy,13 Aug 2026 06:06:13.874,13 Aug 2026 06:36:46.797,0.06851,0.06976,2.5 Lots,0.00,-12.5,-3.13,openapi_cbot-t,35 441.31
DID313859613,354541577,GBPNZD,Sell,Buy,13 Aug 2026 06:04:12.748,13 Aug 2026 06:35:29.327,2.30340,2.30389,0.17 Lots,0.00,-4.9,-4.88,openapi_cbot-t,35 444.44
DID313859612,354541576,USDCHF,Sell,Buy,13 Aug 2026 06:03:56.756,13 Aug 2026 06:35:29.117,0.81357,0.81356,0.23 Lots,0.00,0.1,0.28,openapi_cbot-t,35 449.32
DID313859104,354541046,XAUUSD,Sell,Buy,13 Aug 2026 06:02:19.603,13 Aug 2026 06:32:25.468,4408.91,4401.72,0.05 Lots,0.00,71.9,35.95,openapi_cbot-t,35 449.04
DID313859103,354541045,US500,Sell,Buy,13 Aug 2026 06:00:57.294,13 Aug 2026 06:32:25.251,7748.8,7747.2,3 Lots,0.00,1.6,4.80,openapi_cbot-t,35 413.09
DID313858910,354540800,USDJPY,Sell,Buy,13 Aug 2026 06:00:25.548,13 Aug 2026 06:30:56.297,159.420,159.437,0.23 Lots,0.00,-1.7,-2.45,openapi_cbot-t,35 408.29
DID313857808,354539214,SOLUSD,Sell,Buy,13 Aug 2026 06:06:02.986,13 Aug 2026 06:18:41.979,75.23,75.83,316 Lots,0.00,-6.0,-189.60,openapi_cbot-t,35 410.74
