Deals
Deal ID,Order ID,Symbol,Opening Direction,Closing Direction,Opening time (UTC+8),Closing Time (UTC+8),Entry price,Closing price,Closing Quantity,Commissions,Pips,Net USD,Channel,Balance USD
DID313857592,354538884,Copper,Sell,Buy,13 Aug 2026 06:02:33.361,13 Aug 2026 06:15:17.199,6.6748,6.6823,0.14 Lots,0.00,-7.5,-2.10,openapi_cbot-t,35 600.34
DID313857061,354538149,EURX,Buy,Sell,13 Aug 2026 06:05:53.852,13 Aug 2026 06:07:59.979,1077.4,1076.4,22 Lots,0.00,-1.0,-2 535.41,openapi_cbot-t,35 602.44
DID313856782,354537779,EURCAD,Sell,Buy,13 Aug 2026 05:19:25.277,13 Aug 2026 06:05:00.580,1.60553,1.60669,0.2 Lots,0.00,-11.6,-16.64,openapi_cbot-t,38 137.85
DID313856186,354536952,AUDNOK,Sell,Buy,13 Aug 2026 05:05:13.873,13 Aug 2026 05:50:16.226,6.69032,6.72628,0.34 Lots,0.00,-359.6,-128.49,openapi_cbot-t,38 154.49
DID313856180,354536940,AUDHUF,Buy,Sell,13 Aug 2026 05:03:46.163,13 Aug 2026 05:48:58.070,223.611,222.775,0.34 Lots,0.00,-83.6,-90.05,openapi_cbot-t,38 282.98
DID313856178,354536936,AUDDKK,Sell,Buy,13 Aug 2026 05:03:38.174,13 Aug 2026 05:48:47.736,4.57293,4.58447,0.34 Lots,0.00,-115.4,-60.45,openapi_cbot-t,38 373.03
DID313856175,354536934,CADJPY,Buy,Sell,13 Aug 2026 05:02:10.485,13 Aug 2026 05:47:43.338,114.426,114.322,0.33 Lots,0.00,-10.4,-21.53,openapi_cbot-t,38 433.48
DID313856161,354536900,GBPCHF,Buy,Sell,13 Aug 2026 05:14:51.184,13 Aug 2026 05:45:21.604,1.09885,1.09699,0.17 Lots,0.00,-18.6,-38.89,openapi_cbot-t,38 455.01
DID313855930,354536810,BNBUSD,Sell,Buy,13 Aug 2026 05:26:18.075,13 Aug 2026 05:38:39.705,609.40,610.10,39 Lots,0.00,-7.0,-27.30,openapi_cbot-t,38 493.90
DID313855920,354536792,USDCHF,Sell,Buy,13 Aug 2026 05:06:43.730,13 Aug 2026 05:37:07.055,0.81238,0.81385,0.24 Lots,0.00,-14.7,-43.35,openapi_cbot-t,38 521.20
DID313855887,354536742,USDCAD,Buy,Sell,13 Aug 2026 05:03:02.741,13 Aug 2026 05:33:40.504,1.39445,1.39380,0.24 Lots,0.00,-6.5,-11.19,openapi_cbot-t,38 564.55
DID313855886,354536741,GBPJPY,Sell,Buy,13 Aug 2026 05:03:15.006,13 Aug 2026 05:33:40.242,214.971,215.201,0.17 Lots,0.00,-23.0,-24.52,openapi_cbot-t,38 575.74
DID313855885,354536740,GBPCAD,Buy,Sell,13 Aug 2026 05:02:01.506,13 Aug 2026 05:33:38.908,1.88200,1.88010,0.17 Lots,0.00,-19.0,-23.17,openapi_cbot-t,38 600.26
DID313855884,354536739,EURGBP,Buy,Sell,13 Aug 2026 05:01:52.647,13 Aug 2026 05:33:38.717,0.85462,0.85357,0.2 Lots,0.00,-10.5,-28.35,openapi_cbot-t,38 623.43
DID313855883,354536738,GBPUSD,Buy,Sell,13 Aug 2026 05:01:28.456,13 Aug 2026 05:33:38.516,1.34988,1.34906,0.17 Lots,0.00,-8.2,-13.94,openapi_cbot-t,38 651.78
DID313855882,354536737,EURJPY,Sell,Buy,13 Aug 2026 05:01:42.169,13 Aug 2026 05:33:38.330,183.665,183.746,0.2 Lots,0.00,-8.1,-10.16,openapi_cbot-t,38 665.72
DID313765648,354300193,VIX,Sell,Buy,12 Aug 2026 07:33:02.602,12 Aug 2026 20:29:50.264,16.45,16.91,100 Lots,0.00,-4.6,-46.00,openapi_cbot-t,38 675.88
DID313700160,354329520,NatGas,Sell,Buy,12 Aug 2026 08:53:46.612,12 Aug 2026 10:55:30.365,2.769,2.780,0.9 Lots,0.00,-1.1,-99.00,openapi_cbot-t,38 721.88
DID313696385,354324459,GER40,Sell,Buy,12 Aug 2026 08:15:20.655,12 Aug 2026 10:16:11.085,26387.2,26388.7,0.8 Lots,0.00,-1.5,-1.38,openapi_cbot-t,38 820.88
DID313693564,354321206,NZDCAD,Sell,Buy,12 Aug 2026 09:07:16.553,12 Aug 2026 09:54:25.955,0.81810,0.81793,0.85 Lots,0.00,1.7,10.37,openapi_cbot-t,38 822.26
DID313692250,354319889,AUS200,Buy,Sell,12 Aug 2026 09:00:08.754,12 Aug 2026 09:46:47.594,9202.8,9196.2,7.7 Lots,0.00,-6.6,-35.89,openapi_cbot-t,38 811.89
DID313690816,354317983,US500,Buy,Sell,12 Aug 2026 08:47:56.858,12 Aug 2026 09:33:42.538,7730.5,7728.5,3.2 Lots,0.00,-2.0,-6.40,openapi_cbot-t,38 847.78
DID313690528,354317562,GBPAUD,Sell,Buy,12 Aug 2026 09:00:20.346,12 Aug 2026 09:30:42.188,1.91201,1.91248,0.37 Lots,0.00,-4.7,-12.28,openapi_cbot-t,38 854.18
DID313690022,354316782,GBPUSD,Buy,Sell,12 Aug 2026 08:53:38.576,12 Aug 2026 09:23:42.009,1.35079,1.35038,0.18 Lots,0.00,-4.1,-7.38,openapi_cbot-t,38 866.46
DID313690008,354316754,USDJPY,Sell,Buy,12 Aug 2026 08:50:32.800,12 Aug 2026 09:23:29.649,159.285,159.345,0.25 Lots,0.00,-6.0,-9.41,openapi_cbot-t,38 873.84
DID313689208,354315711,NAS100,Buy,Sell,12 Aug 2026 08:47:41.416,12 Aug 2026 09:17:47.305,29555.0,29551.9,0.8 Lots,0.00,-3.1,-2.48,openapi_cbot-t,38 883.25
DID313688765,354315178,XAUUSD,Sell,Buy,12 Aug 2026 09:03:17.988,12 Aug 2026 09:15:21.547,4381.29,4389.16,0.11 Lots,0.00,-78.7,-86.57,openapi_cbot-t,38 885.73
DID313688322,354314636,NZDUSD,Sell,Buy,12 Aug 2026 08:41:36.323,12 Aug 2026 09:12:03.474,0.58775,0.58751,0.42 Lots,0.00,2.4,10.08,openapi_cbot-t,38 972.30
DID313688318,354314633,US30,Sell,Buy,12 Aug 2026 08:41:22.003,12 Aug 2026 09:12:03.220,53810.0,53802.4,0.4 Lots,0.00,7.6,3.04,openapi_cbot-t,38 962.22
DID313688317,354314632,Copper,Buy,Sell,12 Aug 2026 08:41:56.901,12 Aug 2026 09:12:03.001,6.7150,6.7173,0.14 Lots,0.00,2.3,0.64,openapi_cbot-t,38 959.18
DID313688230,354314553,JPYX,Buy,Sell,12 Aug 2026 08:35:54.618,12 Aug 2026 09:11:51.720,676.1,674.9,37 Lots,0.00,-1.2,-27.86,openapi_cbot-t,38 958.54
DID313688012,354314146,EURNZD,Sell,Buy,12 Aug 2026 07:08:41.228,12 Aug 2026 09:10:07.144,1.96243,1.96387,0.44 Lots,0.00,-14.4,-37.23,openapi_cbot-t,38 986.40
DID313687660,354313639,USDX,Sell,Buy,12 Aug 2026 08:36:15.889,12 Aug 2026 09:07:08.211,99.793,99.902,100 Lots,0.00,-10.9,-1 090.00,openapi_cbot-t,39 023.63
DID313685731,354311152,NatGas,Buy,Sell,12 Aug 2026 06:51:54.378,12 Aug 2026 08:52:30.769,2.767,2.769,1.82 Lots,0.00,0.2,36.40,openapi_cbot-t,40 113.63
DID313685318,354310494,LTCUSD,Buy,Sell,12 Aug 2026 08:12:14.419,12 Aug 2026 08:46:41.701,45.59,45.39,100 Lots,0.00,-2.0,-20.00,openapi_cbot-t,40 077.23
DID313685308,354310466,NAS100,Buy,Sell,12 Aug 2026 06:46:24.276,12 Aug 2026 08:46:31.135,29526.3,29556.3,1.7 Lots,0.00,30.0,51.00,openapi_cbot-t,40 097.23
DID313685101,354310143,US500,Sell,Buy,12 Aug 2026 08:11:51.318,12 Aug 2026 08:42:49.443,7727.8,7730.5,3.2 Lots,0.00,-2.7,-8.64,openapi_cbot-t,40 046.23
DID313684784,354309551,Copper,Buy,Sell,12 Aug 2026 08:05:49.645,12 Aug 2026 08:37:58.201,6.7128,6.7117,0.14 Lots,0.00,-1.1,-0.31,openapi_cbot-t,40 054.87
DID313684459,354309333,NZDUSD,Sell,Buy,12 Aug 2026 08:05:38.312,12 Aug 2026 08:36:13.785,0.58787,0.58784,0.42 Lots,0.00,0.3,1.26,openapi_cbot-t,40 055.18
DID313684456,354309330,USDJPY,Sell,Buy,12 Aug 2026 08:05:10.377,12 Aug 2026 08:36:12.322,159.235,159.259,0.25 Lots,0.00,-2.4,-3.77,openapi_cbot-t,40 053.92
DID313684420,354309264,US30,Buy,Sell,12 Aug 2026 08:05:17.948,12 Aug 2026 08:35:41.743,53826.0,53815.0,0.4 Lots,0.00,-11.0,-4.40,openapi_cbot-t,40 057.69
DID313683935,354308711,GBPAUD,Buy,Sell,12 Aug 2026 07:44:47.685,12 Aug 2026 08:31:25.221,1.91244,1.91173,0.37 Lots,0.00,-7.1,-18.56,openapi_cbot-t,40 062.09
DID313682770,354307405,EURCAD,Buy,Sell,12 Aug 2026 07:41:59.703,12 Aug 2026 08:28:22.659,1.60698,1.60675,0.43 Lots,0.00,-2.3,-7.11,openapi_cbot-t,40 080.65
DID313682335,354306817,EURJPY,Buy,Sell,12 Aug 2026 07:39:20.354,12 Aug 2026 08:24:41.016,183.863,183.804,0.43 Lots,0.00,-5.9,-15.93,openapi_cbot-t,40 087.76
DID313682269,354306725,GBPUSD,Sell,Buy,12 Aug 2026 07:51:11.524,12 Aug 2026 08:24:00.145,1.35076,1.35118,0.37 Lots,0.00,-4.2,-15.54,openapi_cbot-t,40 103.69
DID313682230,354306683,AUDUSD,Buy,Sell,12 Aug 2026 07:38:38.099,12 Aug 2026 08:23:49.694,0.70648,0.70670,0.71 Lots,0.00,2.2,15.62,openapi_cbot-t,40 119.23
DID313680107,354304128,SGDJPY,Buy,Sell,12 Aug 2026 07:41:54.385,12 Aug 2026 08:13:04.875,124.497,124.390,0.64 Lots,0.00,-10.7,-43.01,openapi_cbot-t,40 103.61
DID313679748,354303714,LTCUSD,Sell,Buy,12 Aug 2026 07:39:01.751,12 Aug 2026 08:10:40.312,45.34,45.59,100 Lots,0.00,-2.5,-25.00,openapi_cbot-t,40 146.62
DID313679747,354303713,BNBUSD,Buy,Sell,12 Aug 2026 07:38:53.677,12 Aug 2026 08:10:40.090,616.32,615.82,82 Lots,0.00,-5.0,-41.00,openapi_cbot-t,40 171.62
DID313679310,354302940,XAUUSD,Sell,Buy,12 Aug 2026 07:32:48.602,12 Aug 2026 08:03:47.582,4368.46,4369.60,0.11 Lots,0.00,-11.4,-12.54,openapi_cbot-t,40 212.62
DID313679309,354302939,JPYX,Buy,Sell,12 Aug 2026 07:32:40.439,12 Aug 2026 08:03:47.290,676.0,675.1,75 Lots,0.00,-0.9,-42.39,openapi_cbot-t,40 225.16
DID313679209,354302762,XPTUSD,Sell,Buy,12 Aug 2026 07:32:32.785,12 Aug 2026 08:02:40.351,1740.00,1744.05,0.58 Lots,0.00,-40.5,-234.90,openapi_cbot-t,40 267.55
DID313679200,354302756,USDJPY,Sell,Buy,12 Aug 2026 07:32:24.021,12 Aug 2026 08:02:37.992,159.290,159.255,0.5 Lots,0.00,3.5,10.99,openapi_cbot-t,40 502.45
DID313678349,354301275,ADAUSD,Buy,Sell,12 Aug 2026 07:14:37.636,12 Aug 2026 07:49:34.880,0.1878,0.1852,25 Lots,0.00,-2.6,-6.50,openapi_cbot-t,40 491.46
DID313678025,354300668,USDCHF,Buy,Sell,12 Aug 2026 07:08:32.288,12 Aug 2026 07:40:37.488,0.81101,0.81106,0.5 Lots,0.00,0.5,3.08,openapi_cbot-t,40 497.96
DID313677946,354300517,AUDCAD,Buy,Sell,12 Aug 2026 07:05:57.526,12 Aug 2026 07:37:26.366,0.98327,0.98334,0.71 Lots,0.00,0.7,3.57,openapi_cbot-t,40 494.88
DID313677941,354300512,US500,Sell,Buy,12 Aug 2026 07:03:27.808,12 Aug 2026 07:37:17.557,7731.2,7731.5,6.5 Lots,0.00,-0.3,-1.95,openapi_cbot-t,40 491.31
DID313677940,354300509,US30,Sell,Buy,12 Aug 2026 07:03:10.503,12 Aug 2026 07:37:17.310,53830.0,53830.4,0.9 Lots,0.00,-0.4,-0.36,openapi_cbot-t,40 493.26
DID313677919,354300447,GBPAUD,Buy,Sell,12 Aug 2026 07:05:53.210,12 Aug 2026 07:36:25.726,1.91279,1.91220,0.37 Lots,0.00,-5.9,-15.42,openapi_cbot-t,40 493.62
DID313677363,354299533,JPYX,Buy,Sell,12 Aug 2026 06:52:03.210,12 Aug 2026 07:26:01.760,676.1,675.0,75 Lots,0.00,-1.1,-51.79,openapi_cbot-t,40 509.04
DID313677362,354299531,VIX,Buy,Sell,12 Aug 2026 06:52:18.677,12 Aug 2026 07:26:01.532,16.64,16.48,100 Lots,0.00,-1.6,-16.00,openapi_cbot-t,40 560.83
DID313677062,354298903,Copper,Buy,Sell,12 Aug 2026 06:46:39.077,12 Aug 2026 07:19:37.972,6.7082,6.7047,0.3 Lots,0.00,-3.5,-2.10,openapi_cbot-t,40 576.83
DID313677061,354298902,EURJPY,Buy,Sell,12 Aug 2026 06:48:25.917,12 Aug 2026 07:19:37.815,183.842,183.854,0.44 Lots,0.00,1.2,3.31,openapi_cbot-t,40 578.93
DID313676871,354298529,LTCUSD,Buy,Sell,12 Aug 2026 06:45:06.637,12 Aug 2026 07:16:25.400,45.55,45.36,100 Lots,0.00,-1.9,-19.00,openapi_cbot-t,40 575.62
DID313674558,354294750,JPYX,Sell,Buy,12 Aug 2026 06:14:22.423,12 Aug 2026 06:46:00.979,674.9,676.1,75 Lots,0.00,-1.2,-56.51,openapi_cbot-t,40 594.62
DID313674492,354294674,USDCAD,Sell,Buy,12 Aug 2026 06:14:39.820,12 Aug 2026 06:44:56.920,1.39209,1.39222,0.5 Lots,0.00,-1.3,-4.67,openapi_cbot-t,40 651.13
DID313674491,354294670,NAS100,Buy,Sell,12 Aug 2026 06:14:11.932,12 Aug 2026 06:44:53.978,29545.4,29530.6,1.7 Lots,0.00,-14.8,-25.16,openapi_cbot-t,40 655.80
DID313674386,354294451,AUDUSD,Sell,Buy,12 Aug 2026 06:11:58.961,12 Aug 2026 06:42:07.331,0.70607,0.70639,0.72 Lots,0.00,-3.2,-23.04,openapi_cbot-t,40 680.96
DID313674312,354294296,EURCHF,Sell,Buy,12 Aug 2026 06:06:05.593,12 Aug 2026 06:38:16.938,0.93580,0.93611,0.44 Lots,0.00,-3.1,-16.82,openapi_cbot-t,40 704.00
DID313674311,354294295,GBPCAD,Sell,Buy,12 Aug 2026 06:06:15.478,12 Aug 2026 06:38:16.788,1.88048,1.88083,0.37 Lots,0.00,-3.5,-9.30,openapi_cbot-t,40 720.82
DID313674304,354294286,GBPJPY,Sell,Buy,12 Aug 2026 06:06:09.623,12 Aug 2026 06:37:58.551,215.128,215.189,0.37 Lots,0.00,-6.1,-14.17,openapi_cbot-t,40 730.12
DID313674075,354293870,NZDUSD,Buy,Sell,12 Aug 2026 06:14:36.701,12 Aug 2026 06:31:51.606,0.58815,0.58812,0.86 Lots,0.00,-0.3,-2.58,openapi_cbot-t,40 744.29
DID313673884,354293681,US500,Sell,Buy,12 Aug 2026 06:14:43.583,12 Aug 2026 06:29:39.950,7733.9,7733.4,6.5 Lots,0.00,0.5,3.25,openapi_cbot-t,40 746.87
DID313673744,354293535,AUDCHF,Buy,Sell,12 Aug 2026 06:12:10.834,12 Aug 2026 06:26:30.918,0.57266,0.57264,0.72 Lots,0.00,-0.2,-1.78,openapi_cbot-t,40 743.62
DID313673552,354293138,EURGBP,Sell,Buy,12 Aug 2026 05:35:38.784,12 Aug 2026 06:21:07.323,0.85429,0.85442,0.44 Lots,0.00,-1.3,-7.73,openapi_cbot-t,40 745.40
DID313673341,354292812,EURCAD,Buy,Sell,12 Aug 2026 05:31:14.700,12 Aug 2026 06:18:15.653,1.60746,1.60671,0.44 Lots,0.00,-7.5,-23.70,openapi_cbot-t,40 753.13
DID313672740,354291873,AUDNZD,Sell,Buy,12 Aug 2026 05:35:56.299,12 Aug 2026 06:06:20.572,1.19944,1.20090,0.73 Lots,0.00,-14.6,-62.68,openapi_cbot-t,40 776.83
DID313672738,354291870,BNBUSD,Buy,Sell,12 Aug 2026 05:35:33.945,12 Aug 2026 06:06:13.758,612.67,611.76,84 Lots,0.00,-9.1,-76.44,openapi_cbot-t,40 839.51
DID313672653,354291762,GBPCAD,Sell,Buy,12 Aug 2026 05:33:35.742,12 Aug 2026 06:04:58.961,1.88003,1.88084,0.38 Lots,0.00,-8.1,-22.11,openapi_cbot-t,40 915.95
DID313672217,354291288,AUDCAD,Buy,Sell,12 Aug 2026 05:25:48.099,12 Aug 2026 06:00:52.256,0.98361,0.98315,0.72 Lots,0.00,-4.6,-23.79,openapi_cbot-t,40 938.06
DID313672080,354291090,NZDCAD,Sell,Buy,12 Aug 2026 05:19:28.355,12 Aug 2026 05:50:37.440,0.81791,0.81890,0.87 Lots,0.00,-9.9,-61.84,openapi_cbot-t,40 961.85
DID313672079,354291089,EURCHF,Sell,Buy,12 Aug 2026 05:19:39.138,12 Aug 2026 05:50:18.385,0.93540,0.93619,0.44 Lots,0.00,-7.9,-42.83,openapi_cbot-t,41 023.69
DID313671667,354290993,SGDJPY,Buy,Sell,12 Aug 2026 05:09:17.499,12 Aug 2026 05:40:04.130,124.560,124.391,0.65 Lots,0.00,-16.9,-68.98,openapi_cbot-t,41 066.52
DID313671628,354290881,USDCAD,Buy,Sell,12 Aug 2026 05:02:44.595,12 Aug 2026 05:34:41.250,1.39268,1.39227,0.51 Lots,0.00,-4.1,-15.02,openapi_cbot-t,41 135.50
DID313671602,354290848,GBPCAD,Sell,Buy,12 Aug 2026 05:01:27.438,12 Aug 2026 05:31:31.641,1.87970,1.88117,0.38 Lots,0.00,-14.7,-40.11,openapi_cbot-t,41 150.52
DID313587612,354065455,VIX,Buy,Sell,11 Aug 2026 08:07:51.123,11 Aug 2026 20:14:55.242,16.80,16.37,100 Lots,0.00,-4.3,-43.00,openapi_cbot-t,41 190.63
DID313530037,354102031,NAS100,Sell,Buy,11 Aug 2026 09:42:09.216,11 Aug 2026 11:44:56.355,29705.0,29719.8,1.7 Lots,0.00,-14.8,-25.16,openapi_cbot-t,41 233.63
DID313523644,354094097,LTCUSD,Buy,Sell,11 Aug 2026 08:34:05.473,11 Aug 2026 10:37:43.354,45.19,45.06,100 Lots,0.00,-1.3,-13.00,openapi_cbot-t,41 258.79
DID313522186,354092381,US30,Buy,Sell,11 Aug 2026 09:42:03.567,11 Aug 2026 10:27:16.753,53964.4,53968.0,0.9 Lots,0.00,3.6,3.24,openapi_cbot-t,41 271.79
DID313519350,354089220,US500,Buy,Sell,11 Aug 2026 09:45:26.089,11 Aug 2026 10:16:13.341,7761.8,7761.3,6.7 Lots,0.00,-0.5,-3.35,openapi_cbot-t,41 268.55
DID313519348,354089218,GER40,Buy,Sell,11 Aug 2026 09:42:18.434,11 Aug 2026 10:16:13.012,26369.7,26365.7,1.7 Lots,0.00,-4.0,-7.85,openapi_cbot-t,41 271.90
DID313519346,354089216,NZDUSD,Buy,Sell,11 Aug 2026 09:45:21.180,11 Aug 2026 10:16:12.957,0.58865,0.58871,0.89 Lots,0.00,0.6,5.34,openapi_cbot-t,41 279.75
DID313519347,354089217,XAUUSD,Buy,Sell,11 Aug 2026 09:45:16.684,11 Aug 2026 10:16:12.945,4418.18,4434.90,0.11 Lots,0.00,167.2,183.92,openapi_cbot-t,41 274.41
DID313519217,354089082,GBPUSD,Sell,Buy,11 Aug 2026 09:44:55.649,11 Aug 2026 10:15:37.091,1.35101,1.35111,0.38 Lots,0.00,-1.0,-3.80,openapi_cbot-t,41 090.49
DID313517029,354086608,JPYX,Buy,Sell,11 Aug 2026 09:31:47.981,11 Aug 2026 10:04:10.645,676.7,675.5,77 Lots,0.00,-1.2,-58.05,openapi_cbot-t,41 094.29
DID313516098,354085316,2020.HK,Sell,Buy,11 Aug 2026 09:42:45.307,11 Aug 2026 09:56:08.410,75.310,75.290,5 000 Lots,-143.96,2.0,-131.22,openapi_cbot-t,41 152.34
DID313516097,354085315,0016.HK,Sell,Buy,11 Aug 2026 09:42:32.472,11 Aug 2026 09:56:08.152,116.110,116.110,3 535 Lots,-156.95,0.0,-156.95,openapi_cbot-t,41 283.56
DID313516088,354085298,EURCAD,Sell,Buy,11 Aug 2026 09:25:39.826,11 Aug 2026 09:55:59.593,1.60860,1.60884,0.45 Lots,0.00,-2.4,-7.75,openapi_cbot-t,41 440.51
DID313516082,354085280,EURAUD,Buy,Sell,11 Aug 2026 09:25:35.643,11 Aug 2026 09:55:50.710,1.63587,1.63586,0.45 Lots,0.00,-0.1,-0.32,openapi_cbot-t,41 448.26
DID313514988,354084254,USDJPY,Buy,Sell,11 Aug 2026 09:21:43.867,11 Aug 2026 09:52:42.833,159.101,159.141,0.52 Lots,0.00,4.0,13.07,openapi_cbot-t,41 448.58
DID313513500,354082493,USDX,Sell,Buy,11 Aug 2026 09:12:04.088,11 Aug 2026 09:44:15.343,99.751,99.820,100 Lots,0.00,-6.9,-690.00,openapi_cbot-t,41 435.51
DID313513354,354082309,AUS200,Buy,Sell,11 Aug 2026 09:12:21.619,11 Aug 2026 09:42:23.228,9251.1,9250.5,8 Lots,0.00,-0.6,-3.39,openapi_cbot-t,42 125.51
DID313513063,354081938,US500,Buy,Sell,11 Aug 2026 09:08:57.507,11 Aug 2026 09:40:20.305,7756.5,7761.7,6.7 Lots,0.00,5.2,34.84,openapi_cbot-t,42 128.90
DID313513061,354081936,GER40,Buy,Sell,11 Aug 2026 09:08:36.333,11 Aug 2026 09:40:20.105,26343.7,26367.5,1.7 Lots,0.00,23.8,46.73,openapi_cbot-t,42 094.06
DID313513056,354081935,US30,Buy,Sell,11 Aug 2026 09:05:52.363,11 Aug 2026 09:40:19.171,53959.0,53972.0,0.9 Lots,0.00,13.0,11.70,openapi_cbot-t,42 047.33
DID313513044,354081916,GBPCHF,Sell,Buy,11 Aug 2026 07:35:10.315,11 Aug 2026 09:40:12.342,1.09427,1.09410,0.19 Lots,0.00,1.7,3.99,openapi_cbot-t,42 035.63
DID313512958,354081812,AUDUSD,Buy,Sell,11 Aug 2026 09:08:43.163,11 Aug 2026 09:39:15.630,0.70551,0.70603,0.74 Lots,0.00,5.2,38.48,openapi_cbot-t,42 031.64
DID313512945,354081785,GBPUSD,Buy,Sell,11 Aug 2026 09:08:29.112,11 Aug 2026 09:39:03.934,1.35092,1.35126,0.38 Lots,0.00,3.4,12.92,openapi_cbot-t,41 993.16
DID313512940,354081778,NZDUSD,Sell,Buy,11 Aug 2026 09:06:21.970,11 Aug 2026 09:38:56.641,0.58816,0.58879,0.89 Lots,0.00,-6.3,-56.07,openapi_cbot-t,41 980.24
DID313512933,354081762,NAS100,Buy,Sell,11 Aug 2026 09:06:02.062,11 Aug 2026 09:38:48.985,29664.9,29703.9,1.7 Lots,0.00,39.0,66.30,openapi_cbot-t,42 036.31
DID313511242,354079474,EURCAD,Sell,Buy,11 Aug 2026 08:37:11.499,11 Aug 2026 09:23:54.402,1.60866,1.60898,0.45 Lots,0.00,-3.2,-10.34,openapi_cbot-t,41 970.01
