Deals
Deal ID,Order ID,Symbol,Opening Direction,Closing Direction,Opening time (UTC+8),Closing Time (UTC+8),Entry price,Closing price,Closing Quantity,Commissions,Pips,Net USD,Channel,Balance USD
DID314237989,353730580,TSLA.US,Sell,Buy,07 Aug 2026 21:50:45.162,14 Aug 2026 22:06:15.852,328.04,351.06,0.2 Lots,-0.04,-230.2,-4.63,openapi_cbot-t,763.38
DID313788884,352801210,LHX.US,Buy,Sell,03 Aug 2026 21:31:00.353,12 Aug 2026 21:31:00.297,277.03,281.82,0.3 Lots,-0.04,47.9,1.30,openapi_cbot-t,768.01
DID313429357,353932415,EURGBP,Buy,Sell,10 Aug 2026 19:18:21.488,10 Aug 2026 22:45:27.548,0.85580,0.85420,0.03 Lots,-0.22,-16.0,-6.71,openapi_cbot-t,766.71
DID313217897,353723241,DOW.US,Buy,Sell,07 Aug 2026 21:31:00.353,07 Aug 2026 21:37:52.460,29.55,29.33,33.8 Lots,-1.36,-2.2,-8.80,openapi_cbot-t,773.42
DID313182303,353618771,EURNOK,Sell,Buy,07 Aug 2026 09:48:02.533,07 Aug 2026 18:22:13.211,10.99700,10.99656,0.02 Lots,-0.14,4.4,-0.05,openapi_cbot-t,782.22
DID313159159,353651968,VIX,Buy,Sell,07 Aug 2026 08:36:05.529,07 Aug 2026 14:38:26.555,16.97,16.81,17.1 Lots,0.00,-1.6,-2.74,openapi_cbot-t,782.27
DID313128957,353614018,USDX,Buy,Sell,07 Aug 2026 08:58:48.257,07 Aug 2026 09:22:38.477,100.042,99.962,2 Lots,0.00,-8.0,-16.00,openapi_cbot-t,785.01
DID313128956,353614017,GBPUSD,Sell,Buy,07 Aug 2026 08:57:34.786,07 Aug 2026 09:22:38.246,1.34496,1.34521,0.08 Lots,-0.56,-2.5,-2.56,openapi_cbot-t,801.01
DID313128955,353614016,JPYX,Sell,Buy,07 Aug 2026 08:57:20.307,07 Aug 2026 09:22:37.965,680.1,681.5,32 Lots,0.00,-1.4,-28.29,openapi_cbot-t,803.57
DID313127738,353612413,JPN225,Sell,Buy,07 Aug 2026 08:37:48.631,07 Aug 2026 09:12:12.337,65396.9,65017.4,0.6 Lots,0.00,379.5,143.69,openapi_cbot-t,831.86
DID312960483,353412118,JPN225,Sell,Buy,05 Aug 2026 13:17:21.176,06 Aug 2026 10:13:21.742,66157.5,65142.3,0.3 Lots,0.00,1015.2,192.35,openapi_cbot-t,688.17
DID312856028,353279863,DOW.US,Sell,Buy,05 Aug 2026 21:31:00.302,05 Aug 2026 21:45:34.280,30.44,30.01,23.1 Lots,-0.92,4.3,9.01,openapi_cbot-t,495.82
DID312353937,352670665,USDX,Sell,Buy,03 Aug 2026 06:07:19.264,03 Aug 2026 07:46:40.500,99.604,99.798,2 Lots,0.00,-19.4,-38.80,openapi_cbot-t,486.81
DID312345712,352659937,USDZAR,Buy,Sell,03 Aug 2026 06:04:26.035,03 Aug 2026 06:19:38.518,16.49454,16.46669,0.01 Lots,-0.08,-278.5,-1.77,openapi_cbot-t,525.61
DID312341018,352655654,USDZAR,Buy,Sell,03 Aug 2026 05:58:33.497,03 Aug 2026 05:58:36.786,16.52134,16.45366,0.01 Lots,-0.08,-676.8,-4.19,openapi_cbot-t,527.38
DID312340856,352655441,USDZAR,Buy,Sell,03 Aug 2026 05:01:01.034,03 Aug 2026 05:49:24.640,16.48525,16.45795,0.01 Lots,-0.08,-273.0,-1.74,openapi_cbot-t,531.57
,,,,,,,,,,-3.52,,230.07,,

Positions
Created (UTC+8),Symbol,Quantity,Direction,Entry,TP,SL,Net USD
04 Aug 2026 21:35:22,INTC.US,0.5 Lots,Sell,97.31,81.85,97.31,—

Summary
Deposit,Withdrawal,Total net,Equity,Unr. P&L,Realised P&L,Margin,Free margin,Margin level
500.00,0.00,500.00,765.93,2.55,230.07,9.73,756.20,7 872.05%

Balance
763.38
